icao24,origin_country,velocity,on_ground
4400b7,Austria,74.81,False
3c6753,Germany,188.26,False
a1c6a8,United States,163.62,False
471f5d,Hungary,221.45,False
477ff4,Hungary,230.03,False
3c6751,Germany,0.0,True
4400b3,Austria,218.9,False
408064,United Kingdom,222.23,False
ae6246,United States,33.83,False
3c675a,Germany,236.4,False
ae6244,United States,50.06,False
471f41,Hungary,203.6,False
3c674d,Germany,0.0,True
8014fc,India,224.18,False
e48c4d,Brazil,187.97,False
40804d,United Kingdom,241.12,False
40804e,United Kingdom,211.57,False
471f58,Hungary,222.3,False
471f55,Hungary,214.1,False
408051,United Kingdom,63.28,False
c07c7b,Canada,0.0,True
471f54,Hungary,222.49,False
ae6240,United States,27.63,False
a069fd,United States,52.66,False
a3a61b,United States,241.28,False
e49f8d,Brazil,143.46,False
344416,Spain,191.26,False
469c35,Greece,37.98,False
3c6706,Germany,242.74,False
440cbf,Austria,239.06,False
3c6709,Germany,264.04,False
3c6708,Germany,244.59,False
3c6707,Germany,161.01,False
801602,India,0.77,True
344409,Spain,135.68,False
a76d5a,United States,1.8,True
0d1202,Mexico,7.2,True
5003d8,San Marino,0.0,True
471f35,Hungary,218.51,False
a88d2e,United States,269.66,False
3c6710,Germany,225.61,False
505f78,Slovakia,63.87,False
471f38,Hungary,222.07,False
801605,India,271.96,False
801606,India,137.03,False
a46f2a,United States,58.4,False
801613,India,198.77,False
7809f9,China,145.44,False
ae624d,United States,23.31,False
471f03,Hungary,234.95,False
48ca72,Poland,66.58,False
3a1465,France,227.75,False
3d37a4,Germany,55.0,False
4008ad,United Kingdom,129.29,False
a426a5,United States,231.8,False
3c670a,Germany,7.72,True
488189,Poland,65.87,False
3c670c,Germany,236.5,False
4cc330,Iceland,125.01,False
40808c,United Kingdom,211.11,False
a3560b,United States,0.06,True
aa4440,United States,247.83,False
5003cf,San Marino,82.7,False
ac47b7,United States,208.51,False
e49390,Brazil,206.06,False
3c671a,Germany,238.66,False
7c4923,Australia,262.12,False
408092,United Kingdom,238.88,False
4951cb,Portugal,4.89,True
4951cc,Portugal,152.6,False
868710,Japan,125.01,False
80174a,India,127.08,False
aa7a1f,United States,107.13,False
801759,India,104.19,False
e48c04,Brazil,174.64,False
00c463,South Africa,225.88,False
aa44d0,United States,220.25,False
3c6582,Germany,188.6,False
3c6581,Germany,203.22,False
3c6588,Germany,207.65,False
80175a,India,207.12,False
7c7f6f,Australia,20.27,False
80175f,India,78.2,False
348085,Spain,216.93,False
3c658d,Germany,237.71,False
3c658c,Germany,172.32,False
a5cc35,United States,247.36,False
3c658b,Germany,232.17,False
3c658e,Germany,88.39,False
a0d062,United States,185.2,False
02a1a6,Tunisia,252.84,False
aa57df,United States,202.61,False
801771,India,227.29,False
02a1a4,Tunisia,211.73,False
