date,open,high,low,close,volume,day,month,year,day_name,month_name,daily_return_pct,intraday_volatility_pct
2002-02-01,109.5,110.21,101.0,108.0,55992100,1,2,2002,Friday,February,-1.36986301369863,8.410958904109583
2002-02-08,108.0,108.5,102.61,104.99,35602600,8,2,2002,Friday,February,-2.7870370370370416,5.453703703703704
2002-02-15,105.0,109.15,101.7,102.89,39939500,15,2,2002,Friday,February,-2.009523809523809,7.095238095238098
2002-02-22,101.5,101.8,95.76,98.45,48524400,22,2,2002,Friday,February,-3.0049261083743817,5.95073891625615
2002-03-01,98.45,103.1,95.99,103.02,51947900,1,3,2002,Friday,March,4.641950228542401,7.221940071102082
2002-03-08,103.35,107.5,103.13,105.09,47715500,8,3,2002,Friday,March,1.683599419448485,4.22835026608612
2002-03-15,104.35,108.85,103.6,106.79,42307200,15,3,2002,Friday,March,2.3382846190704476,5.031145184475324
2002-03-22,107.1,108.64,104.7,105.6,25381100,22,3,2002,Friday,March,-1.400560224089636,3.6788048552754415
2002-03-28,105.8,106.66,102.3,104.0,25371800,28,3,2002,Thursday,March,-1.701323251417767,4.120982986767485
2002-04-05,104.0,104.0,97.25,97.25,36348600,5,4,2002,Friday,April,-6.490384615384616,6.490384615384616
2002-04-12,87.5,89.95,83.34,85.6,110897800,12,4,2002,Friday,April,-2.171428571428578,7.554285714285713
2002-04-19,86.5,90.03,84.0,89.0,51860900,19,4,2002,Friday,April,2.8901734104046244,6.971098265895955
2002-04-26,88.95,89.08,84.7,84.71,31976500,26,4,2002,Friday,April,-4.766722878021371,4.9241146711635695
2002-05-03,84.71,85.23,81.11,81.78,42862500,3,5,2002,Friday,May,-3.4588596387675516,4.86365246133869
2002-05-10,81.7,83.0,75.92,79.68,61363200,10,5,2002,Friday,May,-2.4724602203182324,8.665850673194612
2002-05-17,80.25,86.49,79.5,85.69,37347700,17,5,2002,Friday,May,6.778816199376944,8.710280373831768
2002-05-24,85.45,85.46,82.52,83.1,25012600,24,5,2002,Friday,May,-2.7501462843768385,3.440608543007604
2002-05-31,82.8,83.11,80.22,80.45,21571900,31,5,2002,Friday,May,-2.8381642512077225,3.490338164251208
2002-06-07,80.75,80.95,77.0,78.3,37678900,7,6,2002,Friday,June,-3.034055727554183,4.891640866873068
2002-06-14,77.75,78.8,73.25,76.17,45826900,14,6,2002,Friday,June,-2.0321543408360108,7.1382636655948515
2002-06-21,76.18,77.75,68.19,68.75,51132700,21,6,2002,Friday,June,-9.75321606720925,12.549225518508797
2002-06-28,67.25,73.62,66.1,72.0,56342200,28,6,2002,Friday,June,7.063197026022305,11.182156133829011
2002-07-05,72.01,73.9,67.16,73.5,37781700,5,7,2002,Friday,July,2.0691570615192263,9.359811137342048
2002-07-12,73.0,73.48,67.55,69.21,50325700,12,7,2002,Friday,July,-5.191780821917816,8.123287671232886
2002-07-19,68.4,74.2,66.6,72.0,59368700,19,7,2002,Friday,July,5.263157894736834,11.111111111111123
2002-07-26,71.25,72.19,65.7,66.4,64004300,26,7,2002,Friday,July,-6.807017543859641,9.108771929824554
2002-08-02,70.37,72.7,67.12,67.88,50523500,2,8,2002,Friday,August,-3.5384396759983074,7.929515418502199
2002-08-09,67.94,74.3,65.85,71.83,38896400,9,8,2002,Friday,August,5.725640270827202,12.437444804239039
2002-08-16,71.05,79.98,70.61,79.35,42544100,16,8,2002,Friday,August,11.68191414496833,13.187895847994376
2002-08-23,79.35,82.85,79.01,80.4,37599000,23,8,2002,Friday,August,1.3232514177693906,4.83931947069942
2002-08-30,80.4,80.89,75.1,75.38,31535800,30,8,2002,Friday,August,-6.2437810945273755,7.201492537313441
2002-09-06,74.2,75.0,71.5,73.2,24168200,6,9,2002,Friday,September,-1.3477088948787062,4.716981132075471
2002-09-13,72.45,77.5,71.31,72.5,29374700,13,9,2002,Friday,September,0.06901311249136943,8.543823326432017
2002-09-20,72.0,73.45,63.9,63.92,59733100,20,9,2002,Friday,September,-11.22222222222222,13.263888888888895
2002-09-27,63.75,64.88,59.55,60.36,59368300,27,9,2002,Friday,September,-5.31764705882353,8.360784313725487
2002-10-04,59.55,62.0,55.77,56.6,60869200,4,10,2002,Friday,October,-4.953820319059607,10.461796809403857
2002-10-11,56.6,63.92,54.01,63.92,67066500,11,10,2002,Friday,October,12.932862190812722,17.50883392226149
2002-10-18,61.54,74.25,61.54,74.25,72253200,18,10,2002,Friday,October,20.653233669158272,20.653233669158272
2002-10-25,73.65,75.9,71.75,74.56,51727300,25,10,2002,Friday,October,1.235573659198909,5.634758995247801
